SAS,1901911604,1919348000,1938549529
SAU,35950396,36408820,36947025
SDN,45657202,46874204,48109006
SEN,16876720,17316449,17763163
SGP,5453566,5637022,5917648
SLB,707851,724273,740424
SLE,8420641,8605718,8791092
SLV,6314167,6336392,6364943
SMR,33745,33660,33642
SOM,17065581,17597511,18143378
SRB,6834326,6664449,6618026
SSA,1181063755,1211070124,1241778044
SSD,10748272,10913164,11088796
SSF,1181163013,1211190002,1241897817
SST,19674424,19881389,20086203
STP,223107,227380,231856
SUR,612985,618040,623236
SVK,5447247,5431752,5426740
SVN,2108079,2111986,2120937
SWE,10415811,10486941,10536632
SWZ,1192271,1201670,1210822
SXM,40708,40888,41163
SYC,99258,119878,119773
SYR,21324367,22125249,23227014
TCA,45114,45703,46062
TCD,17179740,17723315,18278568
TEA,2097669023,2103055378,2107522258
TEC,463035774,457342249,457326090
TGO,8644829,8848699,9053799
THA,71601103,71697030,71801279
TJK,9750064,9952787,10143543
TKM,6341855,6430770,6516100
TLA,639469895,643884393,648763330
TLS,1320942,1341296,1360596
TMN,413124452,419284769,425691336
TON,106017,106858,107773
TSA,1901911604,1919348000,1938549529
TSS,1181163013,1211190002,1241897817
TTO,1525663,1531044,1534937
TUN,12262946,12356117,12458223
TUR,84147318,84979913,85326000
TUV,11204,11312,11396
TZA,63588334,65497748,67438106
UGA,45853778,47249585,48582334
UKR,43848986,38000000,37000000
UMC,2799436415,2803249752,2810588102
URY,3426260,3422794,3423108
USA,332048977,333271411,334914895
UZB,34915100,35648100,36412350
VCT,104332,103948,103698
VEN,28199867,28301696,28838499
VGB,31122,31305,31538
VIR,105870,105413,104917
VNM,97468029,98186856,98858950
VUT,319137,326740,334506
WLD,7888963821,7951595433,8024997028
WSM,218764,222382,225681
XKX,1786038,1768086,1756374
YEM,32981641,33696614,34449825
ZAF,59392255,59893885,60414495
ZMB,19473125,20017675,20569737
ZWE,15993524,16320537,16665409
